end2end_ms_avg,end2end_ms_p50,end2end_ms_p95,subtask
207.43380165100098,206.9664764404297,211.87580032348632,OCR
209.07510498046875,208.84332275390625,213.277197265625,artwork
209.8385186588063,209.57434844970703,213.91825485229492,celebrity
208.2972599029541,207.31591796875,213.89047088623045,code_reasoning
206.7629847208659,204.78376007080078,210.3768241882324,color
243.03116291591098,216.09305572509766,290.4785400390625,commonsense_reasoning
207.13716735839844,206.96862030029297,209.65864639282228,count
207.20534896850586,206.67039489746094,210.80065994262694,existence
210.63029708862305,209.12992095947266,215.04265518188475,landmark
209.6674934387207,209.21207427978516,212.90867919921874,numerical_calculation
207.52544784545898,207.82020568847656,210.4748252868652,position
209.85122768895155,209.7743911743164,213.67057113647462,posters
208.17425357818604,208.0441436767578,212.5352325439453,scene
280.6447128295898,279.1932373046875,286.4013244628906,text_translation
