end2end_ms_avg,end2end_ms_p50,end2end_ms_p95,subtask
207.19831237792968,207.33859252929688,209.97017822265627,OCR
209.19400608062745,208.8375701904297,213.37563705444336,artwork
209.48716255636776,209.1496810913086,213.4128746032715,celebrity
208.3059814453125,207.77865600585938,215.02395248413086,code_reasoning
206.61939061482747,204.83233642578125,210.93842163085938,color
243.7554577418736,215.53682708740234,291.1857147216797,commonsense_reasoning
206.8053326924642,206.40126037597656,210.2169044494629,count
207.42476959228514,207.165283203125,210.68623123168945,existence
210.69720928192137,209.22898864746094,215.87818756103513,landmark
208.55230369567872,208.1946258544922,210.75505294799805,numerical_calculation
208.67114868164063,208.22588348388672,214.17737045288087,position
210.36829064816845,210.24411010742188,215.0084114074707,posters
207.8733475112915,207.61975860595703,212.42189025878906,scene
281.0277229309082,279.0941467285156,288.18326568603516,text_translation
