end2end_ms_avg,end2end_ms_p50,end2end_ms_p95,mme_acc,mme_acc_plus,mme_count_pair,mme_count_q,subtask
211.3944854736328,210.90882873535156,213.9726509094238,0.775,0.55,20.0,40.0,OCR
217.21273067474365,212.76932525634766,276.3115646362303,0.6725,0.4,200.0,400.0,artwork
213.67956628238454,212.76181030273438,219.2140022277832,0.7323529411764705,0.49411764705882355,170.0,340.0,celebrity
213.87507514953614,213.51388549804688,218.9100143432617,0.55,0.1,20.0,40.0,code_reasoning
211.34044748942057,208.61223602294922,223.09007415771484,0.7166666666666667,0.4666666666666667,30.0,60.0,color
254.2579464503697,282.917724609375,289.03021850585935,0.6928571428571428,0.45714285714285713,70.0,140.0,commonsense_reasoning
210.749267578125,208.59921264648438,222.20104751586916,0.7333333333333333,0.6,30.0,60.0,count
210.35989252726236,209.21581268310547,217.83555526733397,0.8833333333333333,0.7666666666666667,30.0,60.0,existence
218.82524654388428,214.40155029296875,284.24923248291014,0.845,0.695,200.0,400.0,landmark
228.76176681518555,214.21268463134766,286.0929244995117,0.375,0.0,20.0,40.0,numerical_calculation
212.37707112630207,212.60050201416016,218.19689788818357,0.6666666666666666,0.3333333333333333,30.0,60.0,position
214.01089166135205,213.21500396728516,222.98869247436522,0.7210884353741497,0.4421768707482993,147.0,294.0,posters
214.09695583343506,213.80860137939453,224.61631393432617,0.87,0.75,200.0,400.0,scene
285.7224067687988,284.9070129394531,290.7400207519531,0.625,0.35,20.0,40.0,text_translation
